timestamp,cpu,memory,disk
1768746981.626762,16.2,81.5,12.0
1768746984.6375182,12.7,81.8,12.0
1768746987.6482072,15.0,81.6,12.0
1768746990.658504,14.1,81.4,12.0
1768746993.6697412,11.8,81.4,12.0
1768746996.676717,10.7,81.4,12.0
1768746999.683882,23.8,81.9,12.0
1768747002.694125,20.7,81.6,12.0
1768747005.704417,23.2,81.8,12.0
1768747008.714873,24.9,82.2,12.0
1768747011.722632,24.2,82.2,12.0
1768747014.732199,23.5,81.7,12.0
1768747017.743934,19.9,82.6,12.0
1768747020.755326,12.7,82.1,12.0
1768747023.764729,14.1,82.3,12.0
1768747026.775029,17.4,82.3,12.0
1768747029.7816,19.6,81.5,12.0
1768747032.792289,17.7,81.4,12.0
1768747035.799196,14.1,81.3,12.0
1768747038.809504,10.0,81.1,12.0
1768747041.820124,9.6,80.7,12.0
1768747044.8264,17.6,81.2,12.0
1768747047.834521,8.2,81.2,12.0
1768747050.843554,5.0,80.4,12.0
1768747053.850276,11.2,81.0,12.0
1768747056.8611588,5.9,80.6,12.0
1768747059.8725498,8.4,81.0,12.0
1768747062.878299,11.7,80.6,12.0
1768747065.888745,8.7,80.4,12.0
1768747068.897106,19.6,80.2,12.0
1768747071.906086,7.0,80.5,12.0
1768747074.912807,9.0,80.4,12.0
1768747077.9260008,10.5,81.4,12.0
1768747080.939522,12.6,81.0,12.0
1768747083.95037,6.5,80.8,12.0
1768747086.95876,7.6,80.9,12.0
1768747089.96546,12.7,82.3,12.0
1768747092.9768279,8.1,82.0,12.0
1768747095.984546,9.5,82.0,12.0
1768747098.993099,8.5,81.6,12.0
1768747102.002899,7.5,81.7,12.0
1768747105.013162,8.2,81.1,12.0
1768747108.023613,11.8,81.1,12.0
1768747111.0342999,20.6,82.4,12.0
1768747114.047169,12.3,81.1,12.0
1768747117.055088,13.8,81.4,12.0
1768747120.0634859,32.3,83.5,12.0
1768747123.0738292,17.6,82.1,12.0
